log,happy,who,what,where,weather
1,0,Alone,Listening,Carlisle,Overcast
2,0,Alone,Resting,Carlisle,Overcast
3,0,Alone,Watching,Carlisle,Overcast
4,0,Family,Gaming,Carlisle,Cloudy
5,0,Alone,Reading,Carlisle,Cloudy
8,0,Family,Commuting,Waterloo,Snow
9,0,Alone,Commuting,Home,Snow
10,0,Alone,Commuting,Home,Cloudy
11,0,Alone,Browsing,Home,Overcast
14,0,Alone,Working,Home,Clear
15,1,Alone,Listening,Home,Clear
16,0,Acquaintance,Commuting,Waterloo,Clear
17,0,Alone,Resting,Home,Snow
18,0,Alone,Working,Home,Clear
19,1,Alone,Making,Home,Clear
20,0,Alone,Eating,Home,Cloudy
21,1,Coworker,Making,Waterloo,Clear
24,0,Alone,Browsing,Home,Clear
25,0,Alone,Eating,Home,Cloudy
26,1,Coworker,Making,Waterloo,Overcast
27,1,Friend,Partying,Waterloo,Cloudy
30,0,Alone,Reading,Waterloo,Cloudy
31,0,Alone,Listening,Home,Clear
32,0,Alone,Reading,Home,Cloudy
35,0,Alone,Showering,Home,Cloudy
36,0,Alone,Working,Home,Overcast
37,1,Coworker,Making,Waterloo,Rain
40,0,Alone,Gaming,Home,Rain
41,0,Friend,Making,Waterloo,Overcast
42,0,Alone,Making,Waterloo,Overcast
43,0,Coworker,Making,Waterloo,Overcast
44,0,Alone,Resting,Home,Overcast
45,1,Girlfriend,Playing,London,Rain
46,1,Girlfriend,Playing,London,Snow
47,1,Girlfriend,Resting,London,Snow
48,0,Girlfriend,Showering,London,Snow
49,0,Girlfriend,Eating,London,Snow
50,0,Alone,Reading,London,Snow
51,0,Alone,Listening,Home,Cloudy
52,0,Alone,Reading,Home,Cloudy
53,0,Alone,Browsing,Home,Snow
54,0,Coworker,Working,Waterloo,Snow
55,0,Coworker,Reading,Waterloo,Snow
56,0,Alone,Making,Home,Snow
59,0,Alone,Working,Home,Snow
60,0,Alone,Reading,Waterloo,Snow
61,1,Friend,Making,Waterloo,Snow
62,1,Alone,Gaming,Home,Snow
63,0,Alone,Reading,Home,Overcast
64,0,Alone,Eating,Home,Overcast
65,0,Alone,Reading,Home,Overcast
66,1,Girlfriend,Browsing,Home,Overcast
67,0,Alone,Working,Home,Overcast
68,0,Girlfriend,Making,Waterloo,Overcast
69,1,Girlfriend,Playing,Home,Rain
70,1,Friend,Partying,Home,Rain
71,0,Alone,Browsing,Home,Overcast
72,0,Friend,Eating,Toronto,Overcast
73,0,Friend,Partying,Toronto,Overcast
74,1,Friend,Partying,Toronto,Overcast
75,1,Friend,Partying,Carlisle,Cloudy
76,1,Friend,Resting,Toronto,Overcast
77,1,Alone,Making,Home,Snow
78,0,Alone,Browsing,Home,Snow
79,0,Coworker,Making,Waterloo,Snow
82,0,Friend,Working,Waterloo,Snow
83,0,Alone,Working,Home,Snow
84,0,Coworker,Making,Waterloo,Snow
85,0,Alone,Other-ing,Home,Snow
88,0,Friend,Working,Waterloo,Snow
89,0,Alone,Browsing,Home,Snow
90,1,Alone,Watching,Waterloo,Snow
91,0,Coworker,Making,Waterloo,Snow
92,0,Alone,Showering,Home,Overcast
93,0,Alone,Making,Home,Cloudy
94,0,Alone,Browsing,Home,Snow
95,1,Alone,Making,Home,Snow
96,0,Alone,Watching,Home,Cloudy
97,0,Alone,Gaming,Home,Cloudy
98,0,Alone,Playing,Home,Snow
99,0,Alone,Commuting,Waterloo,Snow
100,0,Family,Watching,Carlisle,Snow
101,0,Alone,Browsing,Carlisle,Cloudy
102,0,Alone,Reading,Waterloo,Cloudy
103,0,Girlfriend,Recovering,Toronto,Cloudy
104,1,Girlfriend,Playing,Toronto,Clear
105,1,Girlfriend,Playing,Toronto,Clear
106,1,Girlfriend,Gaming,Travel,Cloudy
107,1,Girlfriend,Playing,Home,Clear
108,1,Girlfriend,Gaming,Home,Overcast
109,1,Alone,Making,Home,Overcast
110,1,Alone,Watching,Home,Overcast
111,1,Friend,Watching,Home,Overcast
112,0,Alone,Gaming,Home,Overcast
113,0,Alone,Shopping,Waterloo,Clear
114,0,Alone,Reading,Home,Clear
115,0,Alone,Eating,Home,Clear
118,0,Alone,Browsing,Home,Overcast
119,0,Friend,Working,Waterloo,Rain
120,0,Friend,Eating,Waterloo,Rain
121,0,Friend,Watching,Waterloo,Rain
122,0,Friend,Working,Waterloo,Cloudy
123,0,Alone,Reading,Waterloo,Cloudy
124,1,Alone,Making,Waterloo,Overcast
125,0,Alone,Browsing,Home,Snow
126,0,Friend,Working,Waterloo,Snow
127,1,Coworker,Making,Waterloo,Snow
130,0,Alone,Resting,Home,Cloudy
131,0,Friend,Working,Waterloo,Snow
132,1,Alone,Making,Home,Snow
133,1,Friend,Partying,Carlisle,Cloudy
134,0,Alone,Resting,Home,Cloudy
135,0,Alone,Eating,Home,Cloudy
136,0,Alone,Browsing,Home,Cloudy
137,1,Girlfriend,Playing,Home,Overcast
138,0,Alone,Making,Home,Rain
139,1,Alone,Making,Home,Rain
140,1,Alone,Making,Home,Rain
141,0,Alone,Browsing,Home,Cloudy
142,0,Friend,Working,Waterloo,Cloudy
144,0,Alone,Watching,Home,Clear
145,0,Alone,Listening,Home,Clear
146,0,Alone,Working,Home,Overcast
147,0,Alone,Resting,Home,Overcast
148,0,Coworker,Making,Waterloo,Overcast
149,0,Alone,Browsing,Home,Overcast
150,0,Alone,Working,Home,Overcast
151,1,Alone,Exercising,Waterloo,Clear
152,1,Friend,Partying,Waterloo,Overcast
153,0,Alone,Other-ing,Waterloo,Cloudy
154,0,Alone,Resting,Home,Overcast
155,1,Alone,Making,Home,Overcast
156,0,Alone,Resting,Home,Overcast
157,1,Alone,Gaming,Home,Cloudy
158,1,Alone,Working,Home,Cloudy
159,1,Friend,Partying,Home,Overcast
160,1,Friend,Partying,Home,Snow
161,0,Alone,Commuting,Travel,Clear
162,0,Alone,Commuting,Travel,Cloudy
163,0,Girlfriend,Other-ing,Toronto,Overcast
164,1,Girlfriend,Other-ing,Toronto,Cloudy
165,1,Girlfriend,Gaming,Waterloo,Clear
166,0,Alone,Browsing,Home,Overcast
167,0,Coworker,Watching,Waterloo,Overcast
168,0,Alone,Resting,Home,Overcast
169,0,Coworker,Working,Waterloo,Overcast
170,0,Alone,Eating,Home,Rain
171,0,Coworker,Eating,Waterloo,Rain
172,0,Alone,Reading,Home,Snow
