RANK,PLAYER,TEAM,POS,GP,G,A,PTS,+/-,PPP,PIM,HITS,BLOCKS,SOG
1,Connor McDavid,Edmonton,C,80,33,70,103,13,28,28,32,25,236
2,Sidney Crosby,Pittsburgh,C,77,37,50,87,14,26,34,79,30,249
3,Auston Matthews,Toronto,C,80,37,36,73,4,23,16,23,67,307
4,Tyler Seguin,Dallas,C,77,33,44,77,-3,27,20,66,27,290
5,Evgeni Malkin,Pittsburgh,C,68,32,41,73,9,27,77,36,24,208
6,Nicklas Backstrom,Washington,C,80,20,60,80,14,33,38,58,42,152
7,John Tavares,N.Y. Islanders,C,78,32,40,72,5,22,40,46,37,262
8,Steven Stamkos,Tampa Bay,C,73,37,34,71,1,26,46,83,29,222
9,Jack Eichel,Buffalo,C,78,31,41,72,-9,24,24,37,33,282
10,Ryan Getzlaf,Anaheim,C,76,17,53,70,11,19,53,102,83,161
11,Patrice Bergeron,Boston,C,80,25,35,60,10,18,36,61,52,280
12,Mark Scheifele,Winnipeg,C,78,27,43,70,12,15,38,66,43,179
13,Jeff Carter,Los Angeles,C,81,28,34,62,7,17,32,82,36,242
14,Evgeny Kuznetsov,Washington,C,82,20,46,66,15,16,40,64,22,181
15,Claude Giroux,Philadelphia,C,81,19,48,67,-8,31,40,83,30,229
16,Jonathan Toews,Chicago,C,76,25,35,60,10,15,42,56,30,193
17,Leon Draisaitl,Edmonton,C,77,25,43,68,2,21,20,42,29,160
18,Vincent Trocheck,Florida,C,79,24,31,55,2,12,46,153,48,214
19,Ryan Johansen,Nashville,C,81,17,46,63,1,24,56,88,30,174
20,Anze Kopitar,Los Angeles,C,78,17,45,62,3,20,20,84,57,153
21,Sean Monahan,Calgary,C,81,29,32,61,1,18,18,37,32,197
22,Aleksander Barkov,Florida,C,72,25,33,58,10,13,14,44,38,168
23,Henrik Zetterberg,Detroit,C,80,16,46,62,2,19,24,56,28,208
24,Nazem Kadri,Toronto,C,78,25,29,54,-9,15,73,129,32,227
25,Logan Couture,San Jose,C,70,22,29,51,3,17,14,56,58,187
26,Nathan MacKinnon,Colorado,C,75,21,36,57,-10,15,22,53,40,249
27,Eric Staal,Minnesota,C,80,22,32,54,4,14,36,56,34,216
28,Joe Thornton,San Jose,C,80,12,48,60,9,23,46,48,29,104
29,Mikko Koivu,Minnesota,C,81,17,36,53,12,19,36,36,57,149
30,Tomas Hertl,San Jose,C,75,21,23,44,4,7,28,129,67,213
31,Boone Jenner,Columbus,C,76,21,16,37,2,6,53,206,70,183
32,Derick Brassard,Ottawa,C,80,18,31,49,8,13,28,97,21,185
33,Tyler Johnson,Tampa Bay,C,70,21,30,51,7,16,26,50,30,158
34,Brandon Dubinsky,Columbus,C,74,14,28,42,5,6,77,232,45,128
35,Derek Stepan,Arizona,C,76,18,33,51,7,13,18,32,39,192
