player,team,position,games,fantasy_points,vorp
Brent Burns,San Jose,D,82,809.9000000000001,285.3650000000001
Erik Karlsson,Ottawa,D,75,749.8,225.265
Alexander Ovechkin,Washington,LW,81,773.4000000000001,204.80000000000007
Connor McDavid,Edmonton,C,80,797.4,167.93499999999995
Patrick Kane,Chicago,RW,77,738.5,143.37
Auston Matthews,Toronto,C,80,763.3,133.83499999999992
Sidney Crosby,Pittsburgh,C,77,756.1,126.63499999999999
Jamie Benn,Dallas,LW,80,693.4,124.79999999999995
Vladimir Tarasenko,St. Louis,RW,80,718.8,123.66999999999996
Nikita Kucherov,Tampa Bay,RW,77,713.4,118.26999999999998
Roman Josi,Nashville,D,77,639.2,114.66500000000008
Brad Marchand,Boston,LW,78,682.7,114.10000000000002
Victor Hedman,Tampa Bay,D,78,630.9,106.36500000000001
Max Pacioretty,Montreal,LW,81,672.5,103.89999999999998
Joe Pavelski,San Jose,RW,82,683.3,88.16999999999996
Shea Weber,Montreal,D,78,611.2,86.66500000000008
Tyler Seguin,Dallas,C,77,710,80.53499999999997
Blake Wheeler,Winnipeg,RW,81,674.5,79.37
Dustin Byfuglien,Winnipeg,D,78,592.5,67.96500000000003
Mark Giordano,Calgary,D,76,585.2,60.66500000000008
Drew Doughty,Los Angeles,D,82,574.5,49.96500000000003
John Tavares,N.Y. Islanders,C,78,678.8,49.33499999999992
Filip Forsberg,Nashville,LW,82,617.9,49.299999999999955
Zach Werenski,Columbus,D,78,573.3,48.764999999999986
David Pastrnak,Boston,RW,77,643.7,48.57000000000005
Patrik Laine,Winnipeg,RW,79,639.5,44.370000000000005
Alex Pietrangelo,St. Louis,D,78,562.2,37.66500000000008
Jack Eichel,Buffalo,C,78,666.8,37.33499999999992
Rasmus Ristolainen,Buffalo,D,80,553.6,29.065000000000055
Ivan Provorov,Philadelphia,D,80,551.5,26.965000000000032
Patrice Bergeron,Boston,C,80,650,20.534999999999968
Mike Hoffman,Ottawa,LW,76,587.4,18.799999999999955
Kris Letang,Pittsburgh,D,60,536.8,12.264999999999986
Steven Stamkos,Tampa Bay,C,73,640.8,11.334999999999923
Evgeni Malkin,Pittsburgh,C,68,639.2,9.735000000000014
Duncan Keith,Chicago,D,77,533.3,8.764999999999986
Torey Krug,Boston,D,80,532.4,7.865000000000009
John Carlson,Washington,D,71,532.1,7.565000000000055
Colton Parayko,St. Louis,D,80,530.6,6.065000000000055
Jeff Skinner,Carolina,LW,79,572.2,3.6000000000000227
Nicklas Backstrom,Washington,C,80,632.8,3.3349999999999227
Phil Kessel,Pittsburgh,RW,82,597.7,2.57000000000005
Artemi Panarin,Columbus,LW,81,571.1,2.5
John Klingberg,Dallas,D,78,524.7,0.1650000000000773
Dougie Hamilton,Calgary,D,79,522.4,-2.134999999999991
P.K. Subban,Nashville,D,71,517.2,-7.334999999999923
Johnny Gaudreau,Calgary,LW,77,553.8,-14.800000000000068
William Nylander,Toronto,RW,80,576.6,-18.529999999999973
Brandon Saad,Chicago,LW,81,545.4,-23.200000000000045
Jeff Carter,Los Angeles,C,81,605.8,-23.665000000000077
Ryan McDonagh,N.Y. Rangers,D,75,500.8,-23.734999999999957
Oliver Ekman-Larsson,Arizona,D,79,500.4,-24.13499999999999
Taylor Hall,New Jersey,LW,72,544.3,-24.300000000000068
Brent Seabrook,Chicago,D,80,499.70000000000005,-24.834999999999923
Nikolaj Ehlers,Winnipeg,LW,77,543.2,-25.399999999999977
Zach Parise,Minnesota,LW,71,543,-25.600000000000023
Kevin Shattenkirk,N.Y. Rangers,D,79,498.1,-26.434999999999945
Ryan Getzlaf,Anaheim,C,76,601.9,-27.565000000000055
Jakub Voracek,Philadelphia,RW,80,566.5,-28.629999999999995
Justin Faulk,Carolina,D,74,495.20000000000005,-29.334999999999923
Ryan Suter,Minnesota,D,81,494,-30.534999999999968
Cam Atkinson,Columbus,RW,81,563.1,-32.02999999999997
Mark Scheifele,Winnipeg,C,78,592.1,-37.36500000000001
Shayne Gostisbehere,Philadelphia,D,77,486.70000000000005,-37.83499999999992
Claude Giroux,Philadelphia,C,81,588.1,-41.36500000000001
Jacob Trouba,Winnipeg,D,74,480.70000000000005,-43.83499999999992
Wayne Simmonds,Philadelphia,RW,80,548.4,-46.73000000000002
Mitch Marner,Toronto,RW,78,544.6,-50.52999999999997
Patric Hornqvist,Pittsburgh,RW,72,542.9,-52.23000000000002
Viktor Arvidsson,Nashville,RW,77,542.2,-52.92999999999995
Jaden Schwartz,St. Louis,LW,79,514.3,-54.30000000000007
Kyle Palmieri,New Jersey,RW,81,538.3,-56.83000000000004
Corey Perry,Anaheim,RW,78,538.1,-57.02999999999997
Keith Yandle,Florida,D,82,467.3,-57.23499999999996
Chris Kreider,N.Y. Rangers,LW,77,511.1,-57.5
Cam Fowler,Anaheim,D,77,459.1,-65.43499999999995
Jaccob Slavin,Carolina,D,80,457.5,-67.03499999999997
Jake Muzzin,Los Angeles,D,81,456.3,-68.23499999999996
Nick Foligno,Columbus,LW,77,496.5,-72.10000000000002
Matt Niskanen,Washington,D,80,450.5,-74.03499999999997
Daniel Sedin,Vancouver,LW,82,494.1,-74.5
Anders Lee,N.Y. Islanders,LW,79,491.8,-76.80000000000001
Evgeny Kuznetsov,Washington,C,82,550.9,-78.56500000000005
Mats Zuccarello,N.Y. Rangers,RW,80,515.5,-79.63
Jared Spurgeon,Minnesota,D,74,444.5,-80.03499999999997
Sean Monahan,Calgary,C,81,549.3,-80.16500000000008
Alec Martinez,Los Angeles,D,75,444.1,-80.43499999999995
Nick Leddy,N.Y. Islanders,D,80,443.6,-80.93499999999995
Jonathan Drouin,Montreal,LW,77,486.6,-82
Nathan MacKinnon,Colorado,C,75,544.1,-85.36500000000001
Jakob Silfverberg,Anaheim,RW,80,509.4,-85.73000000000002
Seth Jones,Columbus,D,78,438.8,-85.73499999999996
Jonathan Toews,Chicago,C,76,543.7,-85.76499999999999
Johnny Boychuk,N.Y. Islanders,D,68,437.3,-87.23499999999996
Jordan Eberle,N.Y. Islanders,RW,78,507.6,-87.52999999999997
Leon Draisaitl,Edmonton,C,77,541,-88.46500000000003
Oskar Klefbom,Edmonton,D,76,433.8,-90.73499999999996
James van Riemsdyk,Toronto,LW,76,477.3,-91.30000000000001
Henrik Zetterberg,Detroit,C,80,537.2,-92.26499999999999
Vincent Trocheck,Florida,C,79,536.6,-92.86500000000001
T.J. Oshie,Washington,RW,72,501.6,-93.52999999999997
Erik Johnson,Colorado,D,74,429.70000000000005,-94.83499999999992
Alex Goligoski,Arizona,D,81,428.1,-96.43499999999995
Tyson Barrie,Colorado,D,77,427.1,-97.43499999999995
J.T. Miller,N.Y. Rangers,LW,82,470.8,-97.80000000000001
Patrick Marleau,Toronto,LW,82,470.4,-98.20000000000005
Jonathan Huberdeau,Florida,LW,70,468.8,-99.80000000000001
Sebastian Aho,Carolina,RW,80,494.6,-100.52999999999997
Zdeno Chara,Boston,D,73,423.8,-100.73499999999996
Morgan Rielly,Toronto,D,79,422.8,-101.73499999999996
Brayden Schenn,St. Louis,LW,80,466.8,-101.80000000000001
