Owner,Pos,Forwards/Defensemen,Action,,Opp,Status,Pre-Season,Current,% Started,G,A,#ERROR!,PPP,SOG,HIT,BLK
Dexter,C,New Player NoteNicklas Backstrom Was - C,,,@Phi,16:00,19,19,93%,23,58,14,28,157,44,32
Dexter,C,Player NoteMark Scheifele Wpg - C,,,Car,16:00,20,25,87%,31,42,17,20,189,47,31
Dexter,LW,Player NoteJaden Schwartz StL - LW,,,@TB,16:00,105,95,68%,22,34,11,13,183,55,40
Dexter,LW,"Player NoteJamie Benn Dal - C,LW",,,Col,17:00,12,16,88%,32,44,0,28,244,121,36
Dexter,RW,Player NoteVladimir Tarasenko StL - RW,,,@TB,16:00,7,13,91%,38,39,12,24,291,40,29
Dexter,RW,"Player NoteMitchell Marner Tor - C,RW",,,@Mon,16:00,31,42,76%,23,44,7,21,188,46,71
Dexter,D,"New Player NoteRoman Josi Nsh - D
Day-to-Day",,,@Chi,17:30,33,57,77%,13,38,3,19,208,55,133
Dexter,D,No new player NotesZach Werenski Cls - D,,,@Min,17:00,54,59,95%,12,33,13,19,191,44,99
Dexter,D,Player NoteRyan Suter Min - D,,,Cls,17:00,82,79,86%,8,34,13,13,167,71,123
Dexter,D,Player NoteOscar Klefbom Edm - D,,,Ott,19:00,121,78,73%,12,31,10,13,200,44,139
Dexter,BN,"Player NoteJason Spezza Dal - C,RW",,,Col,17:00,103,189,54%,18,38,-5,17,167,12,26
Dexter,BN,Player NoteNico Hischier NJ - C,,,@NYR,16:00,256,283,29%,19,24,-8,12,159,59,20
Dexter,BN,Player NoteMatthew Tkachuk Cgy - LW,,,@Van,19:00,168,98,56%,17,36,12,15,167,69,31
Dexter,BN,Player NoteAleksander Barkov Fla - C,,,@Pit,16:00,66,103,54%,24,30,11,15,181,44,34
,,,,,,,,,,,,,,,,
,Pos,Forwards/Defensemen,Action,,Opp,Status,Pre-Season,Current,% Started,G,A,#ERROR!,PPP,SOG,HIT,BLK
Alex,C,Player NoteSidney Crosby Pit - C,,,Fla,16:00,2,4,90%,36,61,18,27,251,77,31
Alex,C,Player NoteRyan Johansen Nsh - C,,,@Chi,17:30,75,126,61%,20,43,-1,17,178,63,20
Alex,LW,"Player NoteMike Hoffman Ott - LW,RW",,,@Edm,19:00,67,48,76%,27,31,12,20,233,31,25
Alex,LW,"No new player NotesRick Nash NYR - LW,RW",,,NJ,16:00,158,233,33%,20,16,4,8,161,65,30
Alex,RW,Player NoteMats Zuccarello NYR - RW,,,NJ,16:00,146,52,59%,19,40,11,16,179,85,55
Alex,RW,Player NoteCorey Perry Anh - RW,,,,,69,44,60%,27,29,8,22,219,81,35
Alex,D,No new player NotesJacob Trouba Wpg - D,,,Car,16:00,156,37,72%,11,31,11,13,181,134,154
Alex,D,No new player NotesKeith Yandle Fla - D,,,@Pit,16:00,139,205,64%,5,37,-5,16,164,32,71
Alex,D,Player NoteMark Borowiecki Ott - D,,,@Edm,19:00,535,754,11%,0,0,0,0,0,0,0
Alex,D,No new player NotesDougie Hamilton Cgy - D,,,@Van,19:00,61,51,95%,13,39,8,16,211,70,97
Alex,BN,Player NoteBrad Marchand Bos - LW,,,@Ari,18:00,14,9,81%,36,41,19,26,249,51,45
Alex,BN,Player NoteAnders Lee NYI - LW,,,@SJ,19:30,164,109,23%,26,23,0,12,193,166,33
Alex,BN,Player NoteAnze Kopitar LA - C,,,Buf,19:30,70,47,58%,19,40,11,17,177,78,61
Alex,BN,No new player NotesShea Weber Mon - D,,,Tor,16:00,44,15,88%,16,32,12,23,188,133,155
,,,,,,,,,,,,,,,,
,,,,,,,Rankings,,Fantasy,Offense,,,,,,
