Title,Author,My Rating,Average Rating,Number of Pages,Year Published,Date Read,Date Added,Bookshelves
Sourdough,Robin Sloan,0,3.96,262,2017,,2017/09/25,currently-reading
Artemis,Andy Weir,0,3.94,,2017,,2017/09/17,to-read
Mate,Geoffrey Miller,0,4.17,385,2015,,2017/09/17,currently-reading
Grokking Deep Learning,Andrew W. Trask,0,4.29,325,2017,,2017/09/11,currently-reading
The Regional Office Is Under Attack!,Manuel  Gonzales,1,2.27,400,2016,2017/02/07,2016/12/25,2017
Start R in Calculus,Daniel T. Kaplan,1,2.33,81,2015,2016/09/06,2016/12/24,"2016, textbook"
The Graveyard Book,Neil Gaiman,0,4.12,312,2008,,2017/08/24,currently-reading
Proof: The Science of Booze,Adam Rogers,1,2.88,272,2014,2016/02/08,2015/12/15,2016
Make Your Mark,Jocelyn K. Glei,1,2.94,260,2014,2015/01/05,2015/01/05,2015
Neverwhere,Neil Gaiman,2,3.18,336,2009,2017/08/20,2017/08/16,2017
Bad Choices,Ali Almossawi,2,3.26,160,2017,2017/06/19,2017/06/18,2017
Statistics Done Wrong: The Woefully Complete Guide,Alex Reinhart,2,3.14,176,2015,2017/04/16,2017/04/05,"2017, textbook"
Coyote Blue,Christopher Moore,2,3.75,318,2008,2017/03/28,2017/03/28,2017
Only Humans Need Apply: Winners and Losers in the Age of Smart Machines,Thomas Hayes Davenport,2,2.54,288,2016,2017/03/26,2017/02/20,2017
Seven Brief Lessons on Physics,Carlo Rovelli,2,2.95,86,2016,2017/01/28,2017/01/27,2017
Bayesian Analysis with Python,Osvaldo Martin,2,2.67,282,2016,2017/01/18,2016/11/30,"2017, textbook"
Sapiens: A Brief History of Humankind,Yuval Noah Harari,0,4.42,443,2014,,2017/06/23,currently-reading
"Life, the Universe and Everything (Hitchhiker's Guide, #3)",Douglas Adams,2,3.19,199,2009,2016/09/28,2016/08/21,2016
Against the Gods: The Remarkable Story of Risk,Peter L. Bernstein,2,2.96,383,1998,2016/11/30,2016/07/23,2016
Simulation for Data Science with R,Matthias Templ,2,2,398,2016,2016/08/03,2016/07/19,"2016, textbook"
Practical Recommender Systems,Kim Falk,0,4,375,2016,,2017/05/29,"limbo, to-read"
The Vegetarian,Han Kang,2,3.59,183,2015,2016/07/04,2016/06/14,2016
The Cook and the Chef,Tim Urban,2,3.62,82,2016,2016/07/03,2016/06/02,2016
An Illustrated Book of Bad Arguments,Ali Almossawi,2,3.76,64,2014,2016/05/19,2016/05/18,2016
The Third Wave: An Entrepreneur's Vision of the Future,Steve Case,2,3.71,240,2016,2016/05/17,2016/05/15,2016
Soonish: Ten Emerging Technologies That'll Improve and/or Ruin Everything,Kelly Weinersmith,0,3.62,368,2017,,2017/04/08,to-read
"The Long Dark Tea-Time of the Soul (Dirk Gently, #2)",Douglas Adams,2,3.05,400,1989,2016/03/20,2016/02/21,2016
The Wanderer in Unknown Realms,John Connolly,2,3.93,96,2013,2016/01/25,2015/12/29,2016
Deep Simplicity: Bringing Order to Chaos and Complexity,John Gribbin,2,3.88,279,2005,2015/12/13,2015/12/02,2015
Phishing for Phools: The Economics of Manipulation and Deception,George A. Akerlof,2,3.39,288,2015,2015/11/11,2015/11/08,2015
The World According to Kanye,Herbert Lui,2,3.5,246,2015,2015/09/13,2015/09/13,2015
Machine Learning with R Cookbook - 110 Recipes for Building Powerful Predictive Models with R,Yu-Wei(David Chiu) Chiu,2,3,442,2015,2015/08/21,2015/08/06,"2015, textbook"
Show Your Work!: 10 Ways to Share Your Creativity and Get Discovered,Austin Kleon,2,3.13,224,2014,2015/06/28,2015/06/02,2015
"Irrationally yours : on missing socks, pick-up lines and other existential puzzles",Dan Ariely,2,3.43,240,2015,2015/06/02,2015/05/27,2015
"In the Dust of This Planet (Horror of Philosophy, #1)",Eugene Thacker,2,3.66,170,2011,2015/04/26,2015/04/14,2015
The Global War on Morris,Steve Israel,2,2.64,305,2014,2015/03/17,2015/02/02,2015
The Rime of the Ancient Mariner,Samuel Taylor Coleridge,2,3.93,77,1970,2015/01/08,2015/01/08,2015
Love Factually: 10 Proven Steps from I Wish to I Do,Duana Welch,3,3.97,328,2015,2017/09/15,2017/09/05,2017
How Will You Measure Your Life?,Clayton M. Christensen,3,3.06,285,2012,2017/09/17,2017/08/27,2017
The Alchemist,Paulo Coelho,3,3.82,182,2014,2017/08/23,2017/08/21,2017
"Murder on the Orient Express (Hercule Poirot, #10)",Agatha Christie,3,3.16,274,2007,2017/08/21,2017/08/20,2017
Dangerous,Milo Yiannopoulos,3,3.34,285,2017,2017/08/07,2017/08/01,2017
Deep learning with Python,Francois Chollet,3,3.57,350,2017,2017/09/11,2017/07/14,"2017, textbook"
The Hitchhiker's Guide to Python,Kenneth Reitz,3,3.94,338,2016,2017/06/13,2017/06/02,"2017, textbook"
Essential Sqlalchemy: Mapping Python to Databases,Jason Myers,3,3.83,208,2015,2017/05/30,2017/05/29,"2017, textbook"
Flask By Example,Gareth Dwyer,3,3.8,276,2016,2017/05/15,2017/04/11,"2017, textbook"
The Moral Landscape: How Science Can Determine Human Values,Sam Harris,3,3.91,379,2012,2017/07/09,2017/03/24,2017
Invent Your Own Computer Games with Python,Al Sweigart,3,3.97,368,2016,2017/03/24,2017/03/13,"2017, textbook"
"Know This: Today's Most Interesting and Important Scientific Ideas, Discoveries, and Developments",John Brockman,3,3.65,608,2017,2017/03/30,2017/02/20,2017
Python Data Science Handbook: Tools and Techniques for Developers,Jake Vanderplas,3,3.03,500,2016,2017/03/08,2017/01/19,"2017, textbook"
Sacré bleu,Christopher Moore,3,3.77,320,2012,2017/01/24,2017/01/07,2017
Weapons of Math Destruction: How Big Data Increases Inequality and Threatens Democracy,Cathy O'Neil,3,3.88,272,2016,2016/12/25,2016/11/30,2016
Work Rules!: Insights from Inside Google That Will Transform How You Live and Lead,Laszlo Bock,3,3.16,406,2015,2016/10/15,2016/08/28,2016
"Mostly Harmless (Hitchhiker's Guide, #5)",Douglas Adams,3,3.96,230,2009,2016/12/05,2016/08/21,2016
"So Long, and Thanks for All the Fish (Hitchhiker's Guide, #4)",Douglas Adams,3,3.08,167,2009,2016/11/27,2016/08/21,2016
"Data Visualization with Python and JavaScript: Scrape, Clean, Explore & Transform Your Data",Kyran Dale,3,3.08,592,2016,2016/10/03,2016/08/16,"2016, textbook"
"The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1)",Douglas Adams,3,3.2,204,2009,2016/08/13,2016/08/08,2016
god is Not Great: How Religion Poisons Everything,Christopher Hitchens,3,3.96,307,2007,2016/09/01,2016/07/23,2016
Rework,Jason Fried,3,3.93,279,2010,2016/08/06,2016/07/19,2016
Sams Teach Yourself SQL in 10 Minutes,Ben Forta,3,3.99,256,2004,2016/05/19,2016/05/18,"2016, textbook"
Satin Island,Tom McCarthy,3,3.22,208,2015,2016/01/23,2016/01/18,2016
Emperor Mollusk versus the Sinister Brain,A. Lee Martinez,3,3.79,305,2012,2016/01/03,2015/12/29,2016
"Off to Be the Wizard (Magic 2.0, #1)",Scott  Meyer,3,3.98,386,2014,2015/12/21,2015/12/13,2015
Losing the Signal: The Untold Story Behind the Extraordinary Rise and Spectacular Fall of BlackBerry,Jacquie McNish,3,3.02,288,2015,2015/11/19,2015/11/15,2015
Doing Math with Python,Amit Saha,3,3.1,304,2015,2015/12/13,2015/11/08,"2015, textbook"
Solutions and Other Problems,Allie Brosh,0,4.18,384,,,2016/07/24,to-read
Exploratory Data Analysis with R,Roger D. Peng,3,3.72,184,2015,2015/08/05,2015/07/22,2015
"Introduction to Scientific Programming and Simulation Using R, Second Edition (Chapman & Hall/CRC The R Series)",Owen          Jones,3,3.5,606,2015,2015/07/22,2015/07/03,"2015, textbook"
The Prince,Niccolò Machiavelli,3,3.78,128,2006,2015/07/05,2015/06/22,2015
Python Data Science Essentials - Learn the fundamentals of Data Science with Python,Alberto Boschetti,3,3,258,2015,2015/08/05,2015/05/19,"2015, textbook"
