drop_off,time,pick_up,last_drop_off,last_pick_up
other,2017-10-22 18:23:19,home,,
home,2017-10-22 19:51:52,climbing,other,home
work,2017-10-23 09:06:08,home,home,climbing
home,2017-10-23 17:46:26,work,work,home
work,2017-10-24 09:05:50,home,home,work
home,2017-10-24 17:57:51,work,work,home
work,2017-10-25 09:09:27,home,home,work
other,2017-10-25 17:28:48,work,work,home
climbing,2017-10-25 18:45:38,west_core,other,work
home,2017-10-25 19:38:44,climbing,climbing,west_core
west_core,2017-10-25 20:08:52,home,home,climbing
other,2017-10-26 12:21:47,other,west_core,home
other,2017-10-26 12:51:32,other,other,other
downtown_core,2017-10-26 18:05:37,west_core,other,other
home,2017-10-26 20:12:20,downtown_core,downtown_core,west_core
work,2017-10-27 09:04:18,home,home,downtown_core
climbing,2017-10-27 17:35:54,west_core,work,home
home,2017-10-27 18:29:39,climbing,climbing,west_core
work,2017-10-30 09:09:06,home,home,climbing
home,2017-10-30 20:10:58,climbing,work,home
work,2017-10-31 09:11:48,home,home,climbing
other,2017-11-01 07:07:10,home,work,home
home,2017-11-01 08:18:29,other,other,home
work,2017-11-01 09:09:41,home,home,other
climbing,2017-11-01 17:20:28,west_core,work,home
west_core,2017-11-01 18:20:07,climbing,climbing,west_core
work,2017-11-06 08:56:05,home,west_core,climbing
climbing,2017-11-07 17:29:57,west_core,work,home
home,2017-11-07 18:55:02,climbing,climbing,west_core
work,2017-11-08 09:11:04,home,home,climbing
climbing,2017-11-08 17:24:33,west_core,work,home
work,2017-11-09 09:07:01,home,climbing,west_core
climbing,2017-11-09 17:30:13,west_core,work,home
other,2017-11-09 18:42:26,climbing,climbing,west_core
home,2017-11-09 20:48:34,west_core,other,climbing
work,2017-11-10 09:08:45,home,home,west_core
west_core,2017-11-10 17:09:21,work,work,home
home,2017-11-10 20:08:05,downtown_core,west_core,work
work,2017-11-13 09:05:37,home,home,downtown_core
climbing,2017-11-13 18:35:04,west_core,work,home
west_core,2017-11-13 20:11:51,climbing,climbing,west_core
work,2017-11-14 09:05:30,home,west_core,climbing
climbing,2017-11-14 17:35:14,west_core,work,home
other,2017-11-14 19:06:36,climbing,climbing,west_core
home,2017-11-14 22:38:02,other,other,climbing
work,2017-11-15 09:12:25,home,home,other
west_core,2017-11-15 17:15:15,west_core,work,home
home,2017-11-15 19:07:14,downtown_core,west_core,west_core
work,2017-11-16 09:15:54,west_core,home,downtown_core
home,2017-11-16 18:27:51,west_core,work,west_core
work,2017-11-20 09:16:48,west_core,home,west_core
home,2017-11-20 18:30:24,west_core,work,west_core
work,2017-11-21 09:15:16,home,home,west_core
climbing,2017-11-21 17:20:30,west_core,work,home
other,2017-11-21 18:31:53,climbing,climbing,west_core
home,2017-11-21 22:07:11,other,other,climbing
west_core,2017-11-22 09:11:00,home,home,other
home,2017-11-22 17:10:16,work,west_core,home
work,2017-11-23 08:46:47,home,home,work
west_core,2017-11-23 18:18:20,west_core,work,home
work,2017-11-24 09:20:04,home,west_core,west_core
downtown_core,2017-11-24 17:29:52,work,work,home
home,2017-11-24 19:04:36,downtown_core,downtown_core,work
west_core,2017-11-25 09:48:21,home,home,downtown_core
home,2017-11-25 11:01:09,other,west_core,home
west_core,2017-11-26 11:15:41,home,home,other
home,2017-11-26 12:44:22,west_core,west_core,home
other,2017-11-26 17:55:57,home,home,west_core
work,2017-11-27 08:59:44,other,other,home
climbing,2017-11-27 18:23:15,west_core,work,other
home,2017-11-27 20:09:22,climbing,climbing,west_core
work,2017-11-28 09:04:54,home,home,climbing
west_core,2017-11-28 18:12:17,west_core,work,home
home,2017-11-28 20:42:05,west_core,west_core,west_core
work,2017-11-29 09:06:31,home,home,west_core
climbing,2017-11-29 17:31:52,other,work,home
home,2017-11-29 19:17:15,climbing,climbing,other
work,2017-11-30 09:09:26,home,home,climbing
home,2017-11-30 18:26:24,west_core,work,home
work,2017-12-01 09:13:47,home,home,west_core
downtown_core,2017-12-01 17:42:57,west_core,work,home
home,2017-12-01 19:08:18,downtown_core,downtown_core,west_core
west_core,2017-12-02 09:53:33,home,home,downtown_core
home,2017-12-02 10:57:41,west_core,west_core,home
west_core,2017-12-03 11:21:22,home,home,west_core
home,2017-12-03 12:42:47,west_core,west_core,home
downtown_core,2017-12-03 16:12:26,home,home,west_core
home,2017-12-03 20:23:13,downtown_core,downtown_core,home
work,2017-12-04 09:08:54,home,home,downtown_core
climbing,2017-12-04 17:38:31,other,work,home
home,2017-12-04 18:35:11,climbing,climbing,other
work,2017-12-06 08:57:25,home,home,climbing
home,2017-12-06 17:18:56,work,work,home
work,2017-12-07 09:11:31,home,home,work
climbing,2017-12-07 17:33:54,west_core,work,home
home,2017-12-07 18:30:17,climbing,climbing,west_core
west_core,2017-12-09 09:52:23,home,home,climbing
home,2017-12-09 10:59:25,west_core,west_core,home
west_core,2017-12-10 11:20:26,home,home,west_core
home,2017-12-10 13:29:08,downtown_core,west_core,home
work,2017-12-14 09:05:38,home,home,downtown_core
climbing,2017-12-14 17:32:59,west_core,work,home
home,2017-12-14 18:36:20,climbing,climbing,west_core
work,2017-12-15 09:10:13,home,home,climbing
downtown_core,2017-12-15 17:31:53,west_core,work,home
home,2017-12-15 19:09:03,downtown_core,downtown_core,west_core
west_core,2017-12-16 09:48:30,home,home,downtown_core
west_core,2017-12-17 11:18:17,home,west_core,home
home,2017-12-17 12:44:58,west_core,west_core,home
work,2017-12-18 09:14:08,west_core,home,west_core
climbing,2017-12-18 17:53:56,west_core,work,west_core
home,2017-12-18 20:11:43,climbing,climbing,west_core
work,2017-12-19 09:07:09,home,home,climbing
downtown_core,2017-12-19 17:35:29,west_core,work,home
home,2017-12-19 20:08:12,downtown_core,downtown_core,west_core
work,2017-12-20 09:09:38,home,home,downtown_core
other,2017-12-20 17:39:44,west_core,work,home
home,2017-12-20 19:35:16,climbing,other,west_core
work,2017-12-21 08:42:07,home,home,climbing
west_core,2017-12-21 17:18:38,work,work,home
home,2017-12-22 16:14:18,west_core,west_core,work
west_core,2017-12-23 09:48:27,home,home,west_core
west_core,2017-12-23 11:03:54,west_core,west_core,home
other,2017-12-28 17:30:17,home,west_core,west_core
home,2017-12-28 19:00:59,other,other,home
downtown_core,2017-12-29 11:34:12,home,home,other
work,2017-12-30 11:23:17,home,downtown_core,home
home,2017-12-30 13:05:24,work,work,home
work,2017-12-31 12:03:06,home,home,work
other,2017-12-31 13:31:52,work,work,home
west_core,2017-12-31 15:07:37,other,other,work
downtown_core,2017-12-31 15:43:14,west_core,west_core,other
home,2017-12-31 17:09:36,downtown_core,downtown_core,west_core
other,2018-01-01 12:47:36,home,home,downtown_core
climbing,2018-01-01 13:01:49,other,other,home
home,2018-01-01 14:25:55,climbing,climbing,other
work,2018-01-02 08:42:05,home,home,climbing
home,2018-01-03 18:30:07,west_core,work,home
work,2018-01-04 08:54:13,home,home,west_core
climbing,2018-01-04 17:20:20,west_core,work,home
home,2018-01-04 18:34:38,climbing,climbing,west_core
work,2018-01-05 08:57:55,home,home,climbing
home,2018-01-05 19:11:53,downtown_core,work,home
west_core,2018-01-06 09:47:35,home,home,downtown_core
climbing,2018-01-08 17:23:03,west_core,west_core,home
home,2018-01-08 18:45:45,climbing,climbing,west_core
work,2018-01-10 09:05:24,home,home,climbing
climbing,2018-01-10 17:11:21,west_core,work,home
home,2018-01-10 18:31:40,climbing,climbing,west_core
work,2018-01-11 08:51:59,home,home,climbing
downtown_core,2018-01-15 17:31:14,work,work,home
climbing,2018-01-16 17:21:48,west_core,downtown_core,work
work,2018-01-24 08:53:48,home,climbing,west_core
work,2018-01-26 09:10:08,home,work,home
work,2018-01-26 17:36:30,west_core,work,home
downtown_core,2018-01-26 17:42:04,work,work,west_core
west_core,2018-01-27 09:49:48,home,downtown_core,work
home,2018-01-27 11:02:14,west_core,west_core,home
west_core,2018-01-28 11:14:44,home,home,west_core
home,2018-01-28 12:42:34,west_core,west_core,home
work,2018-01-29 09:05:06,home,home,west_core
climbing,2018-01-29 17:26:40,west_core,work,home
west_core,2018-01-30 09:02:36,home,climbing,west_core
west_core,2018-01-30 18:25:35,work,west_core,home
work,2018-01-31 09:02:08,home,west_core,work
climbing,2018-01-31 19:51:41,other,work,home
home,2018-01-31 20:58:52,climbing,climbing,other
work,2018-02-01 09:11:19,home,home,climbing
work,2018-02-02 09:14:30,home,work,home
downtown_core,2018-02-02 17:36:59,work,work,home
home,2018-02-02 19:10:43,downtown_core,downtown_core,work
west_core,2018-02-03 12:37:56,home,home,downtown_core
home,2018-02-03 14:09:19,west_core,west_core,home
work,2018-02-05 09:12:03,home,home,west_core
climbing,2018-02-05 17:38:19,west_core,work,home
home,2018-02-05 18:35:12,climbing,climbing,west_core
work,2018-02-06 09:21:49,west_core,home,climbing
home,2018-02-06 18:27:46,work,work,west_core
work,2018-02-13 08:55:33,home,home,work
climbing,2018-02-13 18:07:54,west_core,work,home
home,2018-02-13 18:58:26,climbing,climbing,west_core
work,2018-02-14 16:54:12,home,home,climbing
home,2018-02-14 18:33:50,work,work,home
work,2018-02-15 08:58:46,home,home,work
climbing,2018-02-15 17:21:11,west_core,work,home
home,2018-02-15 18:28:08,climbing,climbing,west_core
work,2018-02-16 09:10:32,home,home,climbing
west_core,2018-02-16 17:05:05,work,work,home
downtown_core,2018-02-16 17:27:18,west_core,west_core,work
home,2018-02-16 19:08:20,downtown_core,downtown_core,west_core
west_core,2018-02-17 09:47:44,home,home,downtown_core
home,2018-02-17 11:01:15,west_core,west_core,home
home,2018-02-21 18:32:43,work,home,west_core
work,2018-02-22 09:09:50,home,home,work
climbing,2018-02-22 17:16:27,west_core,work,home
home,2018-02-22 18:18:59,climbing,climbing,west_core
work,2018-02-23 09:14:00,home,home,climbing
downtown_core,2018-02-23 17:33:14,work,work,home
home,2018-02-23 19:08:43,downtown_core,downtown_core,work
west_core,2018-02-24 12:46:36,home,home,downtown_core
home,2018-02-24 14:04:28,west_core,west_core,home
work,2018-02-25 10:15:48,home,home,west_core
home,2018-02-25 11:24:35,work,work,home
work,2018-02-26 09:22:12,west_core,home,work
climbing,2018-02-26 17:26:53,west_core,work,west_core
home,2018-02-26 18:14:20,climbing,climbing,west_core
work,2018-02-27 09:16:30,west_core,home,climbing
home,2018-02-27 18:25:50,work,work,west_core
work,2018-02-28 08:44:51,home,home,work
climbing,2018-02-28 17:23:13,west_core,work,home
art,2018-02-28 18:21:19,climbing,climbing,west_core
home,2018-02-28 20:37:40,art,art,climbing
work,2018-03-01 09:05:44,home,home,art
other,2018-03-01 17:13:08,work,work,home
downtown_core,2018-03-01 17:37:09,west_core,other,work
home,2018-03-01 19:06:44,downtown_core,downtown_core,west_core
work,2018-03-02 09:12:08,home,home,downtown_core
climbing,2018-03-02 18:05:37,west_core,work,home
home,2018-03-02 19:03:20,climbing,climbing,west_core
west_core,2018-03-03 12:55:28,home,home,climbing
home,2018-03-03 14:06:25,west_core,west_core,home
other,2018-03-04 17:32:06,home,home,west_core
work,2018-03-04 18:57:22,other,other,home
home,2018-03-04 19:29:19,other,work,other
work,2018-03-05 09:10:00,home,home,other
climbing,2018-03-05 17:26:52,west_core,work,home
work,2018-03-06 09:11:11,home,climbing,west_core
west_core,2018-03-06 18:39:49,work,work,home
home,2018-03-06 20:20:43,west_core,west_core,work
work,2018-03-07 09:09:01,home,home,west_core
home,2018-03-07 18:02:22,work,work,home
home,2018-03-07 21:31:22,home,home,work
work,2018-03-08 09:10:39,home,home,home
downtown_core,2018-03-08 17:33:03,work,work,home
home,2018-03-08 19:03:48,downtown_core,downtown_core,work
work,2018-03-09 09:09:31,home,home,downtown_core
climbing,2018-03-09 18:42:16,west_core,work,home
home,2018-03-09 19:34:37,climbing,climbing,west_core
west_core,2018-03-10 12:59:08,home,home,climbing
home,2018-03-10 14:09:15,west_core,west_core,home
work,2018-03-12 09:10:27,home,home,west_core
climbing,2018-03-12 18:26:33,other,work,home
climbing,2018-03-12 19:48:22,climbing,climbing,other
home,2018-03-12 19:51:03,climbing,climbing,climbing
work,2018-03-13 09:11:34,home,home,climbing
home,2018-03-13 18:25:28,work,work,home
work,2018-03-14 09:14:44,home,home,work
home,2018-03-14 17:49:28,west_core,work,home
home,2018-03-14 21:22:37,home,home,west_core
work,2018-03-15 09:11:36,home,home,home
downtown_core,2018-03-15 17:28:26,work,work,home
home,2018-03-15 19:11:26,downtown_core,downtown_core,work
work,2018-03-16 09:08:59,home,home,downtown_core
climbing,2018-03-16 17:38:42,west_core,work,home
west_core,2018-03-17 12:51:35,home,climbing,west_core
home,2018-03-17 14:05:28,west_core,west_core,home
work,2018-03-19 09:03:40,home,home,west_core
climbing,2018-03-19 17:39:40,west_core,work,home
home,2018-03-19 18:53:34,climbing,climbing,west_core
work,2018-03-20 09:14:17,home,home,climbing
home,2018-03-20 18:27:07,work,work,home
work,2018-03-21 09:16:15,home,home,work
home,2018-03-21 17:17:33,work,work,home
home,2018-03-21 18:17:24,,home,work
,2018-03-21 21:31:42,home,home,
work,2018-03-22 09:09:15,home,,home
climbing,2018-03-22 17:31:19,west_core,work,home
home,2018-03-22 18:27:17,climbing,climbing,west_core
work,2018-03-23 09:13:23,home,home,climbing
other,2018-03-23 17:00:47,work,work,home
downtown_core,2018-03-23 17:36:32,west_core,other,work
home,2018-03-23 19:09:34,downtown_core,downtown_core,west_core
home,2018-03-25 13:02:16,climbing,home,downtown_core
other,2018-03-25 20:27:44,home,home,climbing
home,2018-03-25 23:21:51,other,other,home
work,2018-03-26 09:11:41,home,home,other
other,2018-03-27 07:50:05,,work,home
work,2018-03-27 08:42:59,other,other,
climbing,2018-03-27 17:18:49,west_core,work,other
home,2018-03-27 18:23:39,climbing,climbing,west_core
work,2018-03-28 09:08:11,home,home,climbing
home,2018-03-28 17:39:16,work,work,home
,2018-03-28 21:18:26,home,home,work
work,2018-03-29 09:17:35,home,,home
home,2018-03-29 17:10:19,work,work,home
climbing,2018-03-30 11:53:09,home,home,work
other,2018-03-30 13:13:20,climbing,climbing,home
home,2018-03-30 13:18:11,other,other,climbing
home,2018-03-31 07:02:34,downtown_core,home,other
west_core,2018-03-31 12:50:31,home,home,downtown_core
home,2018-03-31 14:06:49,west_core,west_core,home
home,2018-04-01 20:32:34,climbing,home,west_core
