time,beer,ml,abv,Mark,Max,Adam
18:47,"Honkers, Goose Island",200,4.3,1,1,1
18:51,"Beat the Heat, Black Oak",200,4.5,1,1,1
18:58,"Ambre de la Chaudiere, Mill Street",200,7,1,1,1
19:03,"Queen Street 501, Brickworks",250,5,1,1,1
19:14,"Farm Table: Grisette, Beau's",200,4.9,1,1,2
19:26,"Loose Lips, Longslice",200,5.5,1,1,1
19:48,"Food Truck Beer, Henderson",400,4.5,1,1,1
20:15,"Sweetwater Squeeze, Amsterdam",180,3.8,1,1,1
20:30,"Golden Ale, Sweetgrass",200,4.9,1,1,1
20:48,"Original, Innis & Gunn",180,6.6,0,1,1
20:54,"Pilsner, Steam Whistle",200,5,1,1,1
21:02,"Midnight Mass, Brimstone",60,5.5,1,1,1
