datetime,door
2018-04-01 19:52,1
2018-04-02 11:02,0
2018-04-02 12:46,1
2018-04-02 20:55,0
2018-04-03 6:58,1
2018-04-03 9:01,0
2018-04-03 21:36,1
2018-04-03 22:15,0
2018-04-04 7:14,1
2018-04-04 9:12,0
2018-04-04 21:50,1
2018-04-05 9:09,0
2018-04-05 19:29,1
2018-04-06 8:57,0
2018-04-06 19:15,1
2018-04-07 2:34,0
2018-04-13 22:22,1
2018-04-14 12:53,0
2018-04-14 14:57,1
2018-04-14 16:28,0
2018-04-14 20:30,1
2018-04-14 22:44,0
2018-04-15 11:21,1
2018-04-15 11:40,0
2018-04-15 13:48,1
2018-04-16 9:03,0
2018-04-16 18:00,1
2018-04-17 8:59,0
2018-04-17 18:43,1
2018-04-17 21:02,0
2018-04-18 7:16,1
2018-04-18 8:50,0
2018-04-18 19:55,1
2018-04-18 20:58,0
2018-04-19 19:30,1
2018-04-20 8:57,0
2018-04-20 19:21,1
2018-04-20 20:40,0
2018-04-21 1:32,1
2018-04-21 9:53,0
