,leg_length,leg_width,arm_length,arm_width,species
0,5.1,3.5,1.4,0.2,autobot
1,4.9,3.0,1.4,0.2,autobot
2,4.7,3.2,1.3,0.2,autobot
3,4.6,3.1,1.5,0.2,autobot
4,5.0,3.6,1.4,0.2,autobot
5,5.4,3.9,1.7,0.4,autobot
6,4.6,3.4,1.4,0.3,autobot
7,5.0,3.4,1.5,0.2,autobot
8,4.4,2.9,1.4,0.2,autobot
9,4.9,3.1,1.5,0.1,autobot
10,5.4,3.7,1.5,0.2,autobot
11,4.8,3.4,1.6,0.2,autobot
12,4.8,3.0,1.4,0.1,autobot
13,4.3,3.0,1.1,0.1,autobot
14,5.8,4.0,1.2,0.2,autobot
15,5.7,4.4,1.5,0.4,autobot
16,5.4,3.9,1.3,0.4,autobot
17,5.1,3.5,1.4,0.3,autobot
18,5.7,3.8,1.7,0.3,autobot
19,5.1,3.8,1.5,0.3,autobot
20,5.4,3.4,1.7,0.2,autobot
21,5.1,3.7,1.5,0.4,autobot
22,4.6,3.6,1.0,0.2,autobot
23,5.1,3.3,1.7,0.5,autobot
24,4.8,3.4,1.9,0.2,autobot
25,5.0,3.0,1.6,0.2,autobot
26,5.0,3.4,1.6,0.4,autobot
27,5.2,3.5,1.5,0.2,autobot
28,5.2,3.4,1.4,0.2,autobot
29,4.7,3.2,1.6,0.2,autobot
30,4.8,3.1,1.6,0.2,autobot
31,5.4,3.4,1.5,0.4,autobot
32,5.2,4.1,1.5,0.1,autobot
33,5.5,4.2,1.4,0.2,autobot
34,4.9,3.1,1.5,0.2,autobot
35,5.0,3.2,1.2,0.2,autobot
36,5.5,3.5,1.3,0.2,autobot
37,4.9,3.6,1.4,0.1,autobot
38,4.4,3.0,1.3,0.2,autobot
39,5.1,3.4,1.5,0.2,autobot
40,5.0,3.5,1.3,0.3,autobot
41,4.5,2.3,1.3,0.3,autobot
42,4.4,3.2,1.3,0.2,autobot
43,5.0,3.5,1.6,0.6,autobot
44,5.1,3.8,1.9,0.4,autobot
45,4.8,3.0,1.4,0.3,autobot
46,5.1,3.8,1.6,0.2,autobot
47,4.6,3.2,1.4,0.2,autobot
48,5.3,3.7,1.5,0.2,autobot
49,5.0,3.3,1.4,0.2,autobot
50,7.0,3.2,4.7,1.4,decepticon
51,6.4,3.2,4.5,1.5,decepticon
52,6.9,3.1,4.9,1.5,decepticon
53,5.5,2.3,4.0,1.3,decepticon
54,6.5,2.8,4.6,1.5,decepticon
55,5.7,2.8,4.5,1.3,decepticon
56,6.3,3.3,4.7,1.6,decepticon
57,4.9,2.4,3.3,1.0,decepticon
58,6.6,2.9,4.6,1.3,decepticon
59,5.2,2.7,3.9,1.4,decepticon
60,5.0,2.0,3.5,1.0,decepticon
61,5.9,3.0,4.2,1.5,decepticon
62,6.0,2.2,4.0,1.0,decepticon
63,6.1,2.9,4.7,1.4,decepticon
64,5.6,2.9,3.6,1.3,decepticon
65,6.7,3.1,4.4,1.4,decepticon
66,5.6,3.0,4.5,1.5,decepticon
67,5.8,2.7,4.1,1.0,decepticon
68,6.2,2.2,4.5,1.5,decepticon
69,5.6,2.5,3.9,1.1,decepticon
70,5.9,3.2,4.8,1.8,decepticon
71,6.1,2.8,4.0,1.3,decepticon
72,6.3,2.5,4.9,1.5,decepticon
73,6.1,2.8,4.7,1.2,decepticon
74,6.4,2.9,4.3,1.3,decepticon
75,6.6,3.0,4.4,1.4,decepticon
76,6.8,2.8,4.8,1.4,decepticon
77,6.7,3.0,5.0,1.7,decepticon
78,6.0,2.9,4.5,1.5,decepticon
79,5.7,2.6,3.5,1.0,decepticon
80,5.5,2.4,3.8,1.1,decepticon
81,5.5,2.4,3.7,1.0,decepticon
82,5.8,2.7,3.9,1.2,decepticon
83,6.0,2.7,5.1,1.6,decepticon
84,5.4,3.0,4.5,1.5,decepticon
85,6.0,3.4,4.5,1.6,decepticon
86,6.7,3.1,4.7,1.5,decepticon
87,6.3,2.3,4.4,1.3,decepticon
88,5.6,3.0,4.1,1.3,decepticon
89,5.5,2.5,4.0,1.3,decepticon
90,5.5,2.6,4.4,1.2,decepticon
91,6.1,3.0,4.6,1.4,decepticon
92,5.8,2.6,4.0,1.2,decepticon
93,5.0,2.3,3.3,1.0,decepticon
94,5.6,2.7,4.2,1.3,decepticon
95,5.7,3.0,4.2,1.2,decepticon
96,5.7,2.9,4.2,1.3,decepticon
97,6.2,2.9,4.3,1.3,decepticon
98,5.1,2.5,3.0,1.1,decepticon
99,5.7,2.8,4.1,1.3,decepticon
100,6.3,3.3,6.0,2.5,predacon
101,5.8,2.7,5.1,1.9,predacon
102,7.1,3.0,5.9,2.1,predacon
103,6.3,2.9,5.6,1.8,predacon
104,6.5,3.0,5.8,2.2,predacon
105,7.6,3.0,6.6,2.1,predacon
106,4.9,2.5,4.5,1.7,predacon
107,7.3,2.9,6.3,1.8,predacon
108,6.7,2.5,5.8,1.8,predacon
109,7.2,3.6,6.1,2.5,predacon
110,6.5,3.2,5.1,2.0,predacon
