season,date,home,away,home_goals,away_goals
2017-18,2017-10-04,Edmonton Oilers,Calgary Flames,3,0
2017-18,2017-10-04,Pittsburgh Penguins,St. Louis Blues,4,5
2017-18,2017-10-04,San Jose Sharks,Philadelphia Flyers,3,5
2017-18,2017-10-04,Winnipeg Jets,Toronto Maple Leafs,2,7
2017-18,2017-10-05,Anaheim Ducks,Arizona Coyotes,5,4
2017-18,2017-10-05,Boston Bruins,Nashville Predators,4,3
2017-18,2017-10-05,Buffalo Sabres,Montreal Canadiens,2,3
2017-18,2017-10-05,Chicago Blackhawks,Pittsburgh Penguins,10,1
2017-18,2017-10-05,Detroit Red Wings,Minnesota Wild,4,2
2017-18,2017-10-05,Los Angeles Kings,Philadelphia Flyers,2,0
2017-18,2017-10-05,New York Rangers,Colorado Avalanche,2,4
2017-18,2017-10-05,Ottawa Senators,Washington Capitals,4,5
2017-18,2017-10-06,Columbus Blue Jackets,New York Islanders,5,0
2017-18,2017-10-06,Dallas Stars,Vegas Golden Knights,1,2
2017-18,2017-10-06,Tampa Bay Lightning,Florida Panthers,5,3
2017-18,2017-10-07,Anaheim Ducks,Philadelphia Flyers,2,3
2017-18,2017-10-07,Arizona Coyotes,Vegas Golden Knights,1,2
2017-18,2017-10-07,Carolina Hurricanes,Minnesota Wild,5,4
2017-18,2017-10-07,Calgary Flames,Winnipeg Jets,6,3
2017-18,2017-10-07,Chicago Blackhawks,Columbus Blue Jackets,5,1
2017-18,2017-10-07,Florida Panthers,Tampa Bay Lightning,5,4
2017-18,2017-10-07,New Jersey Devils,Colorado Avalanche,4,1
2017-18,2017-10-07,New York Islanders,Buffalo Sabres,6,3
2017-18,2017-10-07,Ottawa Senators,Detroit Red Wings,1,2
2017-18,2017-10-07,Pittsburgh Penguins,Nashville Predators,4,0
2017-18,2017-10-07,San Jose Sharks,Los Angeles Kings,1,4
2017-18,2017-10-07,St. Louis Blues,Dallas Stars,4,2
2017-18,2017-10-07,Toronto Maple Leafs,New York Rangers,8,5
2017-18,2017-10-07,Vancouver Canucks,Edmonton Oilers,3,2
2017-18,2017-10-07,Washington Capitals,Montreal Canadiens,6,1
2017-18,2017-10-08,New York Rangers,Montreal Canadiens,2,0
2017-18,2017-10-09,Anaheim Ducks,Calgary Flames,0,2
2017-18,2017-10-09,Boston Bruins,Colorado Avalanche,0,4
2017-18,2017-10-09,Buffalo Sabres,New Jersey Devils,2,6
2017-18,2017-10-09,Edmonton Oilers,Winnipeg Jets,2,5
2017-18,2017-10-09,New York Islanders,St. Louis Blues,2,3
2017-18,2017-10-09,Tampa Bay Lightning,Washington Capitals,4,3
2017-18,2017-10-09,Toronto Maple Leafs,Chicago Blackhawks,4,3
2017-18,2017-10-10,Carolina Hurricanes,Columbus Blue Jackets,1,2
2017-18,2017-10-10,Dallas Stars,Detroit Red Wings,4,2
2017-18,2017-10-10,Montreal Canadiens,Chicago Blackhawks,1,3
2017-18,2017-10-10,Nashville Predators,Philadelphia Flyers,6,5
2017-18,2017-10-10,New York Rangers,St. Louis Blues,1,3
2017-18,2017-10-10,Vancouver Canucks,Ottawa Senators,2,3
2017-18,2017-10-10,Vegas Golden Knights,Arizona Coyotes,5,2
2017-18,2017-10-11,Anaheim Ducks,New York Islanders,3,2
2017-18,2017-10-11,Colorado Avalanche,Boston Bruins,6,3
2017-18,2017-10-11,Los Angeles Kings,Calgary Flames,3,4
2017-18,2017-10-11,Toronto Maple Leafs,New Jersey Devils,3,6
2017-18,2017-10-11,Washington Capitals,Pittsburgh Penguins,2,3
2017-18,2017-10-12,Arizona Coyotes,Detroit Red Wings,2,4
2017-18,2017-10-12,Chicago Blackhawks,Minnesota Wild,2,5
2017-18,2017-10-12,Florida Panthers,St. Louis Blues,5,2
2017-18,2017-10-12,Nashville Predators,Dallas Stars,4,1
2017-18,2017-10-12,San Jose Sharks,Buffalo Sabres,3,2
2017-18,2017-10-12,Tampa Bay Lightning,Pittsburgh Penguins,5,4
2017-18,2017-10-12,Vancouver Canucks,Winnipeg Jets,2,4
2017-18,2017-10-13,Columbus Blue Jackets,New York Rangers,3,1
2017-18,2017-10-13,Calgary Flames,Ottawa Senators,0,6
2017-18,2017-10-13,Colorado Avalanche,Anaheim Ducks,3,1
