Year,"CO2 concentrations (NOAA, 2018)"
-803719,207.29
-803182,202.23
-802573,204.86
-802060,207.5
-801975,202.92
-801759,202.65
-800922,198.66
-799286,198.68
-796731,200.49
-795429,197.91
-794903,198.79
-793737,204.62
-793172,208.79
-791903,218.39
-791569,213.36
-790667,214.45
-790081,224.69
-789107,230.55
-788689,227.38
-788003,235.49
-787544,238.64
-786742,257.02
-786529,257.2
-785854,266
-785406,269.36
-784613,264.35
-784240,262.23
-783569,259.66
-783084,255.85
-782312,260.92
-781249,255.02
-780778,257.44
-779937,251.51
-779613,257.21
-778769,252.52
-778239,254.43
-777418,254.69
-777108,254.93
-776283,252.46
-775732,247.3
-774833,248.92
-774382,245.32
-773588,241.74
-773009,238.39
-772094,239.23
-771734,237.78
-771300,246.03
-771046,243.85
-770788,246.49
-770525,243.89
-770225,239.71
-769863,234.24
-769569,236.32
-769071,229.56
-768649,230.63
-767701,225.87
-767111,221.64
-766167,223.82
-765797,224.86
-764859,230.62
-764239,232.12
-763901,229.41
-763637,233.66
-763232,222.93
-762727,223.89
-761821,219.95
-761152,214
-760216,214.69
-759914,216.64
-758990,222.71
-758566,225.62
-758158,225.37
-757928,223.02
-757612,226.94
-757186,222.72
-756412,218.35
-755835,213.61
-754901,209.45
-754616,208.1
-753637,203.3
-753165,199.05
-751985,203.9
-751539,195.43
-750616,197.5
-750024,193.55
-749086,191.3
-748756,192.08
-747864,190.17
-747313,188.68
-746387,187.54
-745990,187.95
-745227,187.92
-744670,190.24
-743721,187.29
-742573,188.97
-742009,188.18
-741112,187.33
-740695,188.65
-739924,189.14
-739380,184.77
-738511,183.39
-738156,185.4
-737225,185.61
-736631,191.74
-735710,204.52
-735320,206.92
-734572,213.14
-734157,217.19
-733460,217.88
-733185,214.66
-732513,216.15
-732072,210.6
-731379,207.72
-731044,208.11
-730372,213.73
-729911,211.62
-729234,210.7
-728958,210.16
-728310,212.17
-727887,210.01
-727038,211.08
-726644,210.24
-725949,210.07
-724627,211.43
-724300,211.08
-723524,211.49
-723025,210.48
-722192,214.01
-721830,212.55
-721045,212.11
-720556,216.1
-719740,218.96
-719458,219.2
-718641,217.04
-718137,212.03
-717337,200.82
-716828,193.46
-716005,189.88
-715398,198.43
-714636,210.51
-714360,213.6
-713615,227.58
-713166,223.14
-712454,227.08
-712116,227.64
-711363,223.89
-710294,224
-710071,224.12
-709449,225.39
-709033,224.9
-708506,227.03
-707960,230.51
-707504,231.43
-707009,234.84
-706463,233.11
-706250,233.58
-705694,233.51
-705361,238.85
-704761,236.05
-704543,236.05
-704103,237.66
-703777,237.18
-703294,235.09
-703103,234.04
-702632,233.54
-702301,232.83
-701846,232.28
-701519,233.35
-701060,230.59
-700784,232.18
-700251,232.16
-700043,230.88
-699575,232.46
-699319,235.42
-698865,236.61
-698535,236.72
-698154,237.21
-697915,239.73
-697489,239.01
-697266,238.86
-696803,241.83
-696556,240.9
-696089,241.03
-695797,239.88
-695392,238.42
-695140,239.44
-694695,238.13
-694485,238.05
-694032,238.74
-693782,236.8
-693309,239.8
-692999,239.31
-692587,240.46
-692330,239.34
-691871,237.76
-691624,243.7
-691127,238.47
-690882,239.3
-690368,243.56
-690018,239.38
-689518,238.42
-689272,239.29
-688786,236.45
-688525,235.8
-688001,232.27
-687743,232.07
-687208,230.67
-686860,227.64
-686350,227.65
-686050,226.73
-685495,222.97
-685204,222.7
-684632,222.62
-684319,220.63
-683730,220.62
-683345,221.82
-682808,224.36
-682474,225.64
-681879,222.7
-681508,220.24
-680790,219.14
-680394,221.31
-679720,227.9
-679276,225.81
-678678,233.11
-678363,233.61
-677785,232.7
-677505,229.16
-676792,220.09
-676378,218.21
-675651,216.59
-675202,219.96
-674581,222.57
-673457,216.12
-673078,211.69
-672279,204.67
-671746,201.12
-670811,197.13
-670201,194.79
-669508,196.83
-669121,194.88
-668346,191.51
-667869,187.66
-666966,180.67
-666465,177.71
-665460,173.71
-664803,174.77
-663887,180.54
-663372,180.17
-662458,187.77
-662370,192.55
-661988,191.02
-660928,190.86
-660847,193.91
-660332,189.69
-659266,191.59
-659168,193.97
-658514,188.43
-657462,185.68
-657344,187.38
-656814,184.1
-655772,190.88
-655704,189.23
-655231,192.93
-654183,200.35
-653574,200
-652489,194.82
-651780,192.87
-650759,186.79
-650154,187.27
-648997,193.44
-648398,189.25
-647241,196.17
-646662,193.48
-645305,191.85
-644427,189.89
-643201,195.82
-642351,195.31
-640907,191.56
-640125,191.38
-638422,190.18
-637468,188.85
-635764,195.33
-634572,194
-633059,194.86
-632931,195.95
-632128,193.1
-630407,196.5
-629576,200.46
-627916,200.78
-627820,205.27
-627190,199.52
-625880,205.76
-625019,215.71
-624097,228.51
-623448,235.02
-622547,237.93
-621105,239.19
-621001,243.89
-619701,243.53
-618334,245.89
-617004,248.29
-615660,252.64
-614407,252.73
-614349,252.9
-613191,252.75
-611993,256.19
-610812,258.14
-609651,259.68
-609601,257.82
-608480,257.74
-607297,259.22
-606029,254.58
-604676,248.48
-603353,244.53
-601999,239.14
-600651,237.86
-599305,232.45
-597865,229.38
-597268,225.97
-596380,219.02
-595854,216.27
-594841,216.44
-594272,221.22
-593486,232.92
-592914,237.98
-592097,238.15
-591611,233.16
-590836,229.39
