name,rating,time,age,complexity,abstract,childrens,customizable,family,party,strategy,thematic,wargames
Freedom: The Underground Railroad,7.6,60.0,13.0,2.91,0,0,0,0,0,1,0,0
Sentinels of the Multiverse,7.2,30.0,8.0,2.50,0,0,0,0,0,0,1,0
Aeon's End: The New Age,8.7,60.0,14.0,2.91,0,0,0,0,0,1,0,0
Small World Underground,7.3,30.0,8.0,2.59,0,0,0,0,0,1,0,0
Citadels,7.1,20.0,10.0,2.05,0,0,0,1,0,0,0,0
Shadows over Camelot,7.1,60.0,10.0,2.57,0,0,0,0,0,0,1,0
The Grizzled,7.2,30.0,14.0,1.94,0,0,0,0,0,0,1,0
Roads & Boats,7.7,240.0,14.0,4.18,0,0,0,0,0,1,0,0
Euphoria: Build a Better Dystopia,7.3,60.0,13.0,3.11,0,0,0,0,0,1,0,0
Lords of Vegas,7.3,60.0,12.0,2.36,0,0,0,0,0,1,0,0
Friday,7.1,25.0,13.0,2.14,0,0,0,0,0,1,0,0
One Night Ultimate Werewolf,7.1,10.0,8.0,1.39,0,0,0,0,1,0,0,0
Imhotep,7.2,40.0,10.0,2.01,0,0,0,1,0,0,0,0
Egizia,7.4,90.0,12.0,2.83,0,0,0,0,0,1,0,0
Dwellings of Eldervale,8.5,60.0,14.0,3.19,0,0,0,0,0,1,0,0
Junk Art,7.4,30.0,8.0,1.22,0,0,0,1,0,0,0,0
Time's Up! Title Recall!,7.7,60.0,12.0,1.19,0,0,0,0,1,0,0,0
Betrayal Legacy,7.8,45.0,12.0,2.82,0,0,0,0,0,0,1,0
Obsession,8.3,30.0,14.0,3.18,0,0,0,0,0,1,0,0
The Fox in the Forest,7.2,30.0,10.0,1.59,0,0,0,1,0,0,0,0
Stuffed Fables,7.6,60.0,7.0,2.40,0,0,0,0,0,0,1,0
Tekhenu: Obelisk of the Sun,8.0,60.0,14.0,4.01,0,0,0,0,0,1,0,0
Airlines Europe,7.3,75.0,10.0,2.44,0,0,0,1,0,0,0,0
Fantasy Realms,7.5,20.0,14.0,1.73,0,0,0,1,0,0,0,0
Libertalia,7.2,40.0,14.0,2.24,0,0,0,0,0,1,0,0
Pipeline,7.7,60.0,12.0,3.86,0,0,0,0,0,1,0,0
Thurn and Taxis,7.1,60.0,10.0,2.26,0,0,0,1,0,0,0,0
Vinhos,7.5,60.0,12.0,4.21,0,0,0,0,0,1,0,0
Elysium,7.2,60.0,14.0,2.76,0,0,0,0,0,1,0,0
Ingenious,7.1,45.0,10.0,1.92,1,0,0,0,0,0,0,0
TZAAR,7.7,30.0,13.0,2.54,1,0,0,0,0,0,0,0
"Unmatched: Battle of Legends, Volume One",8.0,20.0,9.0,1.87,0,0,0,0,0,1,0,0
Chess,7.1,60.0,6.0,3.70,1,0,0,0,0,0,0,0
The Colonists,7.6,30.0,12.0,4.09,0,0,0,0,0,1,0,0
Exit: The Game – Dead Man on the Orient Express,7.7,45.0,12.0,2.74,0,0,0,1,0,0,0,0
Queendomino,7.3,25.0,8.0,2.09,0,0,0,1,0,0,0,0
Vikings,7.2,60.0,10.0,2.54,0,0,0,0,0,1,0,0
Photosynthesis,7.1,30.0,10.0,2.29,1,0,0,0,0,0,0,0
KeyForge: Call of the Archons,7.3,15.0,14.0,2.45,0,0,1,0,0,0,0,0
Tales of the Arabian Nights,7.2,120.0,12.0,2.16,0,0,0,0,0,0,1,0
Potion Explosion,7.2,30.0,8.0,1.75,0,0,0,1,0,0,0,0
